epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8334.5,1.12968,0.62365,1.14254,0.93218,0.83448,0.91259,0.54913,1.36523,0.65569,1.29202,0.0013004,0.0013004,0.0013004
55,8488.61,1.09155,0.58384,1.12187,0.86149,0.88276,0.90415,0.53492,1.39412,0.6781,1.32063,0.0012872,0.0012872,0.0012872
56,8643.05,1.11165,0.5962,1.11212,0.90844,0.86207,0.9363,0.54883,1.40449,0.62852,1.34059,0.001274,0.001274,0.001274
57,8797.05,1.1132,0.58922,1.13642,0.8804,0.87586,0.91671,0.52437,1.48391,0.69343,1.36558,0.0012608,0.0012608,0.0012608
58,8950.85,1.10036,0.5883,1.10792,0.90478,0.85517,0.91954,0.55526,1.37873,0.62891,1.31948,0.0012476,0.0012476,0.0012476
59,9104.93,1.08251,0.57963,1.10727,0.88424,0.84285,0.90777,0.5224,1.47267,0.68201,1.35981,0.0012344,0.0012344,0.0012344
60,9259.24,1.07251,0.5824,1.11579,0.93724,0.83448,0.91772,0.54564,1.3949,0.726,1.32188,0.0012212,0.0012212,0.0012212
61,9413.13,1.06846,0.58143,1.11758,0.90596,0.86207,0.90783,0.53044,1.42987,0.73578,1.36393,0.001208,0.001208,0.001208
62,9567.21,1.09814,0.59394,1.12613,0.88729,0.87586,0.89357,0.53008,1.43654,0.69535,1.35725,0.0011948,0.0011948,0.0011948
63,9721.35,1.09344,0.58895,1.10964,0.92595,0.8624,0.91585,0.5395,1.44119,0.66425,1.37956,0.0011816,0.0011816,0.0011816
64,9875.48,1.06492,0.5663,1.08184,0.88757,0.86897,0.91362,0.55351,1.35376,0.62827,1.33356,0.0011684,0.0011684,0.0011684
65,10029.8,1.04921,0.55396,1.09965,0.90615,0.85517,0.90662,0.54848,1.29753,0.62634,1.27945,0.0011552,0.0011552,0.0011552
66,10183.9,1.04977,0.5699,1.09613,0.906,0.8641,0.89697,0.53986,1.34392,0.6753,1.26195,0.001142,0.001142,0.001142
67,10338,1.04943,0.56384,1.09866,0.8999,0.86801,0.88836,0.54984,1.35386,0.66478,1.30846,0.0011288,0.0011288,0.0011288
68,10492.3,1.05038,0.57177,1.09652,0.87991,0.85904,0.88818,0.5438,1.37498,0.74805,1.29565,0.0011156,0.0011156,0.0011156
69,10646.6,1.0346,0.54994,1.0977,0.90383,0.86207,0.90354,0.54896,1.33919,0.67075,1.26286,0.0011024,0.0011024,0.0011024
70,10800.8,1.07056,0.5544,1.07269,0.90281,0.83448,0.88266,0.55196,1.29519,0.64511,1.29464,0.0010892,0.0010892,0.0010892
71,10955,1.02362,0.55564,1.0867,0.88283,0.83144,0.89376,0.56947,1.29333,0.64536,1.29941,0.001076,0.001076,0.001076
72,11109.2,1.03898,0.5335,1.09337,0.92225,0.82759,0.89301,0.55796,1.29615,0.66239,1.29437,0.0010628,0.0010628,0.0010628
